İlçe,Ort. Alan,Pazarlama Süresi,Yaş,Stok,Değişim
Bodrum,4.615 m²,76 gün,-,737 ünite,%73 ↑
Datça,2.903 m²,105 gün,-,492 ünite,%97 ↑
Fethiye,1.506 m²,79 gün,-,777 ünite,%69 ↑
Köyceğiz,2.810 m²,76 gün,-,443 ünite,%69 ↑
Marmaris,1.571 m²,91 gün,-,508 ünite,%77 ↑
Milas,3.067 m²,90 gün,-,2.356 ünite,%70 ↑
Ula,2.146 m²,84 gün,-,405 ünite,%76 ↑
Yatağan,4.933 m²,80 gün,-,357 ünite,%62 ↑
Dalaman,2.486 m²,70 gün,-,286 ünite,%63 ↑
Ortaca,2.692 m²,92 gün,-,565 ünite,%64 ↑
Kavaklıdere,6.067 m²,78 gün,-,82 ünite,%52 ↑
Menteşe,2.039 m²,83 gün,-,1.219 ünite,%66 ↑
Seydikemer,-,85 gün,-,-,-
