İlçe,Ort. Alan,Pazarlama Süresi,Yaş,Stok,Değişim
Bodrum,1.001 m²,77 gün,-,498 ünite,%69 ↑
Datça,776 m²,91 gün,-,182 ünite,%92 ↑
Fethiye,723 m²,89 gün,-,468 ünite,%77 ↑
Köyceğiz,1.021 m²,90 gün,-,175 ünite,%79 ↑
Marmaris,829 m²,92 gün,-,250 ünite,%57 ↑
Milas,535 m²,80 gün,-,681 ünite,%69 ↑
Ula,636 m²,83 gün,-,214 ünite,%67 ↑
Yatağan,551 m²,68 gün,-,114 ünite,%70 ↑
Dalaman,480 m²,81 gün,-,174 ünite,%66 ↑
Ortaca,744 m²,91 gün,-,382 ünite,%64 ↑
Kavaklıdere,1.005 m²,62 gün,-,19 ünite,%19 ↑
Menteşe,673 m²,84 gün,-,418 ünite,%72 ↑
Seydikemer,790 m²,80 gün,-,309 ünite,%63 ↑
